,code,법정동명
424,1129000200,서울특별시 성북구 번동
425,1129000300,서울특별시 성북구 수유동
426,1129000400,서울특별시 성북구 우이동
427,1129000500,서울특별시 성북구 창동
428,1129000600,서울특별시 성북구 월계동
429,1129000700,서울특별시 성북구 쌍문동
430,1129000800,서울특별시 성북구 공릉동
431,1129000900,서울특별시 성북구 하계동
432,1129001000,서울특별시 성북구 상계동
433,1129001100,서울특별시 성북구 중계동
434,1129001200,서울특별시 성북구 도봉동
435,1129001300,서울특별시 성북구 방학동
436,1129001400,서울특별시 성북구 성북동2가
437,1129001500,서울특별시 성북구 동소문동8가
438,1129010100,서울특별시 성북구 성북동
439,1129010200,서울특별시 성북구 성북동1가
440,1129010300,서울특별시 성북구 돈암동
441,1129010400,서울특별시 성북구 동소문동1가
442,1129010500,서울특별시 성북구 동소문동2가
443,1129010600,서울특별시 성북구 동소문동3가
444,1129010700,서울특별시 성북구 동소문동4가
445,1129010800,서울특별시 성북구 동소문동5가
446,1129010900,서울특별시 성북구 동소문동6가
447,1129011000,서울특별시 성북구 동소문동7가
448,1129011100,서울특별시 성북구 삼선동1가
449,1129011200,서울특별시 성북구 삼선동2가
450,1129011300,서울특별시 성북구 삼선동3가
451,1129011400,서울특별시 성북구 삼선동4가
452,1129011500,서울특별시 성북구 삼선동5가
453,1129011600,서울특별시 성북구 동선동1가
454,1129011700,서울특별시 성북구 동선동2가
455,1129011800,서울특별시 성북구 동선동3가
456,1129011900,서울특별시 성북구 동선동4가
457,1129012000,서울특별시 성북구 동선동5가
458,1129012100,서울특별시 성북구 안암동1가
459,1129012200,서울특별시 성북구 안암동2가
460,1129012300,서울특별시 성북구 안암동3가
461,1129012400,서울특별시 성북구 안암동4가
462,1129012500,서울특별시 성북구 안암동5가
463,1129012600,서울특별시 성북구 보문동4가
464,1129012700,서울특별시 성북구 보문동5가
465,1129012800,서울특별시 성북구 보문동6가
466,1129012900,서울특별시 성북구 보문동7가
467,1129013000,서울특별시 성북구 보문동1가
468,1129013100,서울특별시 성북구 보문동2가
469,1129013200,서울특별시 성북구 보문동3가
470,1129013300,서울특별시 성북구 정릉동
471,1129013400,서울특별시 성북구 길음동
472,1129013500,서울특별시 성북구 종암동
473,1129013600,서울특별시 성북구 하월곡동
474,1129013700,서울특별시 성북구 상월곡동
475,1129013800,서울특별시 성북구 장위동
476,1129013900,서울특별시 성북구 석관동
477,1129090100,서울특별시 성북구 성북1동
478,1129090200,서울특별시 성북구 성북2동
479,1129090300,서울특별시 성북구 삼선1동
480,1129090400,서울특별시 성북구 삼선2동
481,1129090500,서울특별시 성북구 동선1동
482,1129090600,서울특별시 성북구 동선2동
483,1129090700,서울특별시 성북구 돈암1동
484,1129090800,서울특별시 성북구 돈암2동
485,1129090900,서울특별시 성북구 정릉1동
486,1129091000,서울특별시 성북구 정릉2동
487,1129091100,서울특별시 성북구 정릉3동
488,1129091200,서울특별시 성북구 정릉4동
489,1129091300,서울특별시 성북구 길음1동
490,1129091400,서울특별시 성북구 길음2동
491,1129091500,서울특별시 성북구 길음3동
492,1129091600,서울특별시 성북구 종암1동
493,1129091700,서울특별시 성북구 종암2동
494,1129091800,서울특별시 성북구 하월곡1동
495,1129091900,서울특별시 성북구 하월곡2동
496,1129092000,서울특별시 성북구 하월곡3동
497,1129092100,서울특별시 성북구 하월곡4동
498,1129092200,서울특별시 성북구 장위1동
499,1129092300,서울특별시 성북구 장위2동
500,1129092400,서울특별시 성북구 장위3동
501,1129092500,서울특별시 성북구 석관1동
502,1129092600,서울특별시 성북구 석관2동
503,1130500000,서울특별시 강북구
504,1130510100,서울특별시 강북구 미아동
505,1130510200,서울특별시 강북구 번동
506,1130510300,서울특별시 강북구 수유동
507,1130510400,서울특별시 강북구 우이동
508,1132000000,서울특별시 도봉구
509,1132000300,서울특별시 도봉구 상계동
510,1132000400,서울특별시 도봉구 중계동
511,1132000500,서울특별시 도봉구 하계동
512,1132000600,서울특별시 도봉구 월계동
513,1132000700,서울특별시 도봉구 공릉동
514,1132010100,서울특별시 도봉구 미아동
515,1132010200,서울특별시 도봉구 번동
516,1132010300,서울특별시 도봉구 수유동
517,1132010400,서울특별시 도봉구 우이동
518,1132010500,서울특별시 도봉구 쌍문동
519,1132010600,서울특별시 도봉구 방학동
520,1132010700,서울특별시 도봉구 창동
521,1132010800,서울특별시 도봉구 도봉동
522,1132090100,서울특별시 도봉구 창1동
523,1132090200,서울특별시 도봉구 창2동
524,1132090300,서울특별시 도봉구 창3동
525,1132090400,서울특별시 도봉구 도봉1동
526,1132090500,서울특별시 도봉구 도봉2동
527,1132090600,서울특별시 도봉구 미아1동
528,1132090700,서울특별시 도봉구 미아2동
529,1132090800,서울특별시 도봉구 미아3동
530,1132090900,서울특별시 도봉구 미아4동
531,1132091000,서울특별시 도봉구 미아5동
532,1132091100,서울특별시 도봉구 미아6동
533,1132091200,서울특별시 도봉구 미아7동
534,1132091300,서울특별시 도봉구 미아8동
535,1132091400,서울특별시 도봉구 번1동
536,1132091500,서울특별시 도봉구 번2동
537,1132091600,서울특별시 도봉구 수유1동
538,1132091700,서울특별시 도봉구 수유2동
539,1132091800,서울특별시 도봉구 수유3동
540,1132091900,서울특별시 도봉구 수유4동
541,1132092000,서울특별시 도봉구 수유5동
542,1132092100,서울특별시 도봉구 쌍문1동
543,1132092200,서울특별시 도봉구 쌍문2동
544,1132092300,서울특별시 도봉구 쌍문3동
545,1132092400,서울특별시 도봉구 방학1동
546,1132092500,서울특별시 도봉구 방학2동
547,1132092600,서울특별시 도봉구 방학3동
548,1135000000,서울특별시 노원구
549,1135010100,서울특별시 노원구 창동
550,1135010200,서울특별시 노원구 월계동
551,1135010300,서울특별시 노원구 공릉동
552,1135010400,서울특별시 노원구 하계동
553,1135010500,서울특별시 노원구 상계동
554,1135010600,서울특별시 노원구 중계동
555,1135010700,서울특별시 노원구 도봉동
556,1135090100,서울특별시 노원구 도봉1동
557,1135090200,서울특별시 노원구 도봉2동
558,1135090300,서울특별시 노원구 창1동
559,1135090400,서울특별시 노원구 창2동
560,1135090500,서울특별시 노원구 창3동
561,1135090600,서울특별시 노원구 월계1동
562,1135090700,서울특별시 노원구 월계2동
563,1135090800,서울특별시 노원구 월계3동
564,1135090900,서울특별시 노원구 공릉1동
565,1135091000,서울특별시 노원구 공릉2동
566,1135091100,서울특별시 노원구 상계1동
567,1135091200,서울특별시 노원구 상계2동
568,1135091300,서울특별시 노원구 상계3동
569,1135091400,서울특별시 노원구 상계4동
570,1135091500,서울특별시 노원구 상계5동
571,1135091600,서울특별시 노원구 상계6동
572,1135091700,서울특별시 노원구 상계7동
573,1138000000,서울특별시 은평구
574,1138010100,서울특별시 은평구 수색동
575,1138010200,서울특별시 은평구 녹번동
576,1138010300,서울특별시 은평구 불광동
577,1138010400,서울특별시 은평구 갈현동
578,1138010500,서울특별시 은평구 구산동
579,1138010600,서울특별시 은평구 대조동
580,1138010700,서울특별시 은평구 응암동
581,1138010800,서울특별시 은평구 역촌동
582,1138010900,서울특별시 은평구 신사동
583,1138011000,서울특별시 은평구 증산동
584,1138011100,서울특별시 은평구 진관내동
585,1138011200,서울특별시 은평구 구파발동
586,1138011300,서울특별시 은평구 진관외동
587,1138011400,서울특별시 은평구 진관동
588,1138090100,서울특별시 은평구 불광1동
589,1138090200,서울특별시 은평구 불광2동
590,1138090300,서울특별시 은평구 불광3동
591,1138090400,서울특별시 은평구 응암1동
592,1138090500,서울특별시 은평구 응암2동
593,1138090600,서울특별시 은평구 응암3동
594,1138090700,서울특별시 은평구 역촌1동
595,1138090800,서울특별시 은평구 역촌2동
596,1138090900,서울특별시 은평구 응암4동
597,1141000000,서울특별시 서대문구
598,1141000100,서울특별시 서대문구 평창동
599,1141000200,서울특별시 서대문구 구기동
600,1141000300,서울특별시 서대문구 부암동
601,1141000400,서울특별시 서대문구 홍지동
602,1141000500,서울특별시 서대문구 신영동
603,1141000600,서울특별시 서대문구 행촌동
604,1141000700,서울특별시 서대문구 송월동
605,1141000800,서울특별시 서대문구 홍파동
606,1141000900,서울특별시 서대문구 평동
607,1141001000,서울특별시 서대문구 교남동
608,1141001100,서울특별시 서대문구 교북동
609,1141001200,서울특별시 서대문구 서소문동
610,1141001300,서울특별시 서대문구 정동
611,1141001400,서울특별시 서대문구 순화동
612,1141001500,서울특별시 서대문구 의주로2가
613,1141001600,서울특별시 서대문구 중림동
614,1141001700,서울특별시 서대문구 의주로1가
615,1141001800,서울특별시 서대문구 충정로1가
616,1141001900,서울특별시 서대문구 노고산동
617,1141002000,서울특별시 서대문구 만리동1가
618,1141002100,서울특별시 서대문구 만리동2가
619,1141002200,서울특별시 서대문구 상암동
620,1141002300,서울특별시 서대문구 성산동
621,1141002400,서울특별시 서대문구 수색동
622,1141002500,서울특별시 서대문구 중동
623,1141002600,서울특별시 서대문구 녹번동
624,1141002700,서울특별시 서대문구 불광동
625,1141002800,서울특별시 서대문구 갈현동
626,1141002900,서울특별시 서대문구 역촌동
627,1141003000,서울특별시 서대문구 신사동
628,1141003100,서울특별시 서대문구 구파발동
629,1141003200,서울특별시 서대문구 구산동
630,1141003300,서울특별시 서대문구 진관내동
631,1141003400,서울특별시 서대문구 진관외동
632,1141003500,서울특별시 서대문구 응암동
633,1141003600,서울특별시 서대문구 대조동
634,1141003700,서울특별시 서대문구 증산동
635,1141010100,서울특별시 서대문구 충정로2가
636,1141010200,서울특별시 서대문구 충정로3가
