,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
33539,용산구청,서울특별시 용산구 효창원로98길 13,서울특별시 용산구 청파동1가 1-152,5,,37.549464,126.964239
33571,용산구청,서울특별시 용산구 효창원로86라길 30,서울특별시 용산구 청파동1가 97-13,5,,37.547978,126.966981
33573,용산구청,서울특별시 용산구 효창원로 237,서울특별시 용산구 효창동 3-356,3,,37.548336,126.963375
34983,경상남도 창원시,경상남도 창원시 의창구 명지로122번길 5,경상남도 창원시 의창구 명서동 171-6,2,2020-06,35.24664199,128.650212
34984,경상남도 창원시,경상남도 창원시 의창구 사림로16번길 3,경상남도 창원시 의창구 사림동 101-9,4,2020-06,35.24592601,128.6757852
34985,경상남도 창원시,,경상남도 창원시 의창구 사림동 117-1,3,2020-06,35.24714989,128.680835
34986,경상남도 창원시,,경상남도 창원시 의창구 사림동 50,2,2019-05,35.24255816,128.6877745
34987,경상남도 창원시,경상남도 창원시 의창구 사림로71번길 18-26,경상남도 창원시 의창구 사림동 118-9,3,2018-12,35.24715565,128.6823623
34988,경상남도 창원시,경상남도 창원시 의창구 사림로57번길 23,경상남도 창원시 의창구 사림동 124-9,3,2019-05,35.24853134,128.6801284
34989,경상남도 창원시,경상남도 창원시 의창구 사림로99번길 7,경상남도 창원시 의창구 사림동 142-8,1,2019-05,35.2459152,128.683182
34990,경상남도 창원시,경상남도 창원시 의창구 용지로289번길 23,경상남도 창원시 의창구 사림동 16-1,1,2019-05,35.24009426,128.6876818
34991,경상남도 창원시,경상남도 창원시 의창구 용지로285번길 49,경상남도 창원시 의창구 사림동 29-1,3,2019-05,35.24126886,128.6852463
34992,경상남도 창원시,경상남도 창원시 의창구 사림로16번길 37,경상남도 창원시 의창구 사림동 87-10,3,2018-12,35.2447617,128.6794011
34993,경상남도 창원시,경상남도 창원시 의창구 봉곡로68번길 16,경상남도 창원시 의창구 봉곡동 106,1,2018-12,35.24744808,128.666433
34994,경상남도 창원시,경상남도 창원시 의창구 봉곡로120번길 6-30,경상남도 창원시 의창구 봉곡동 132-1,1,2014-11,35.24839251,128.6696951
34995,경상남도 창원시,경상남도 창원시 의창구 봉곡로99번길 5,경상남도 창원시 의창구 봉곡동 135-4,2,2020-06,35.24857498,128.6713929
34996,경상남도 창원시,경상남도 창원시 의창구 봉곡로97번길 53,경상남도 창원시 의창구 봉곡동 170-9,3,2018-12,35.24882001,128.6759602
34997,경상남도 창원시,경상남도 창원시 의창구 지귀로36번길 5,경상남도 창원시 의창구 봉곡동 17-7,4,2018-12,35.24617213,128.651274
34998,경상남도 창원시,,경상남도 창원시 의창구 봉곡동 46-4,1,2020-06,35.24481873,128.6548725
34999,경상남도 창원시,경상남도 창원시 의창구 창이대로187번길 34-1,경상남도 창원시 의창구 봉곡동 58-20,3,2020-06,35.24663057,128.6558088
35000,경상남도 창원시,경상남도 창원시 의창구 창이대로217번길 23,경상남도 창원시 의창구 봉곡동 75-11,3,2020-06,35.24785573,128.6610335
35001,경상남도 창원시,경상남도 창원시 의창구 지귀로59번길 12,경상남도 창원시 의창구 봉곡동 9-1,1,2019-05,35.24848047,128.6533091
35002,경상남도 창원시,경상남도 창원시 의창구 지귀로95번길 7,경상남도 창원시 의창구 봉곡동 66,2,2019-05,35.24762431,128.6576284
35003,경상남도 창원시,경상남도 창원시 의창구 봉곡로 112,경상남도 창원시 의창구 봉곡동 132-17,1,2019-05,35.24734099,128.6704681
35004,경상남도 창원시,경상남도 창원시 의창구 봉곡로120번길 18,경상남도 창원시 의창구 봉곡동 129-9,1,2020-06,35.24704387,128.6684472
35005,경상남도 창원시,경상남도 창원시 의창구 봉곡로111번길 12,경상남도 창원시 의창구 봉곡동 144-3,3,2020-06,35.24711269,128.6718417
35006,경상남도 창원시,경상남도 창원시 의창구 봉곡로93번길 16,경상남도 창원시 의창구 봉곡동 134-6,2,2020-06,35.24930115,128.6715941
35007,경상남도 창원시,,경상남도 창원시 의창구 사림동 26,1,2018-09,35.24112614,128.6876357
35008,경상남도 창원시,경상남도 창원시 의창구 봉곡로68번길 16,경상남도 창원시 의창구 봉곡동 106,2,2018-09,35.24750958,128.6656475
40286,경상남도 창원시,,경상남도 창원시 의창구 도계동 341-3,2,2019-05,35.25931049,128.6362568
40316,경상남도 창원시,경상남도 창원시 의창구 동정길35번길 4-8,경상남도 창원시 의창구 동정동 387,2,2019-05,35.26533328,128.6144487
40347,경상남도 창원시,경상남도 창원시 의창구 천주로12번길 19,경상남도 창원시 의창구 서상동 416,3,2019-12,35.26285599,128.620679
41998,경상남도 함양군청,,경상남도 함양군 마천면 창원리 782-1,1,,35.419101,127.681801
